id,address,name,industry,related_gov
firm1,关凤路藏龙岛科技园九凤街5号,武汉凡谷电子技术股份有限公司,电子信息,市发改委
firm2,邮科院路烽火科技大厦4/11～15层,武汉邮电科学研究院,电子信息,政府办公厅、市经委
firm3,关凤路藏龙岛科技园九凤街5号,武汉凡谷电子技术股份有限公司,电子信息,市发改委
firm4,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm5,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm6,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm7,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm8,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm9,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm10,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm11,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm12,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm13,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm14,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm15,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm16,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm17,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm18,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm19,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm20,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
firm21,武汉市蔡甸区万家湖路,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,市商务局
firm22,汉南大道720号,武汉非凡电源有限公司,电子信息,市商务局
firm23,"葛化正街31号	",武汉葛化集团有限公司,石油化工,市财政局
firm24,五环路12,益海嘉里（武汉）粮油工业有限公司,食品烟草,市农业局
