id,name
gov1,武汉市政务服务和大数据管理局
gov2,武汉市公安局
gov3,武汉市卫生健康委员会
gov4,武汉市市场监督管理局
gov5,武汉市网信办
gov6,武汉市统计局
gov7,武汉市科学技术局
gov8,武汉市交通运输局
gov9,武汉市总工会
gov10,武汉市发展和改革委员会
gov11,中国共产主义青年团武汉市委员会
gov12,武汉市生态环境局
gov13,武汉市残疾人联合会
gov14,武汉市体育局
gov15,国家税务总局武汉市税务局
gov16,武汉市商务局
gov17,武汉市民防办公室
gov18,武汉市住房保障和房屋管理局
gov19,武汉市文化和旅游局
gov20,武汉市红十字会
gov21,武汉市园林和林业局
gov22,武汉市应急管理局
gov23,武汉市审计局
gov24,武汉市财政局
gov25,武汉市民族宗教事务委员会
gov26,中共武汉市委机要保密和档案局
gov27,武汉市农业农村局
gov28,武汉市人民政府国有资产监督管理委员会
gov29,武汉市教育局
gov30,武汉市经济和信息化局
gov31,武汉住房公积金管理中心
gov32,武汉市地方金融工作局
gov33,武汉市供销合作总社
gov34,中共武汉市委外事工作委员会办公室
gov35,武汉市中级人民法院
gov36,武汉市民政局
gov37,武汉市人力资源和社会保障局
gov38,中国人民银行武汉分行营业管理部
gov39,武汉市城乡建设局
gov40,武汉市自然资源和规划局
gov41,武汉市城市管理执法委员会
gov42,武汉市水务局
gov43,武汉市司法局
gov44,武汉市医疗保障局
gov45,中共武汉市委外事工作委员办公室
gov46,政府办公厅
