start_id,end_id
gov24,firm7
gov24,firm11
gov24,firm15
gov24,firm19
gov24,firm23
gov24,firm27
gov24,firm31
gov24,firm35
gov24,firm39
gov24,firm43
gov24,firm47
gov24,firm51
gov24,firm55
gov24,firm59
gov24,firm63
gov24,firm498
gov24,firm509
gov24,firm520
gov24,firm537
gov24,firm548
gov24,firm559
gov24,firm570
gov24,firm581
gov24,firm592
gov24,firm603
gov24,firm614
gov24,firm620
gov24,firm631
gov24,firm642
gov24,firm653
gov24,firm758
gov24,firm759
gov24,firm770
gov24,firm771
gov24,firm782
gov24,firm783
gov24,firm793
gov24,firm794
gov24,firm805
gov24,firm806
gov24,firm817
gov24,firm818
gov24,firm829
gov24,firm830
gov24,firm841
gov24,firm842
gov24,firm853
gov24,firm854
gov24,firm865
gov24,firm866
gov24,firm877
gov24,firm878
gov24,firm889
gov24,firm890
gov24,firm900
gov24,firm901
gov24,firm912
gov24,firm913
gov24,firm924
gov24,firm925
gov24,firm930
gov24,firm931
gov24,firm934
gov24,firm935
gov24,firm938
gov24,firm939
gov24,firm942
gov24,firm943
gov24,firm946
gov24,firm947
gov24,firm950
gov24,firm951
gov24,firm954
gov24,firm955
gov24,firm958
gov24,firm959
gov24,firm962
gov24,firm963
gov24,firm966
gov24,firm967
gov24,firm970
gov24,firm971
gov24,firm974
gov24,firm975
gov24,firm978
gov24,firm979
gov24,firm982
gov24,firm983
gov24,firm986
gov24,firm987
gov10,firm1
gov10,firm3
gov10,firm342
gov10,firm352
gov10,firm362
gov10,firm372
gov10,firm384
gov10,firm394
gov10,firm404
gov10,firm414
gov10,firm424
gov10,firm434
gov10,firm444
gov10,firm458
gov10,firm468
gov10,firm478
gov10,firm488
gov10,firm492
gov10,firm493
gov10,firm494
gov10,firm503
gov10,firm504
gov10,firm505
gov10,firm514
gov10,firm515
gov10,firm516
gov10,firm525
gov10,firm526
gov10,firm527
gov10,firm531
gov10,firm532
gov10,firm533
gov10,firm542
gov10,firm543
gov10,firm544
gov10,firm553
gov10,firm554
gov10,firm555
gov10,firm564
gov10,firm565
gov10,firm566
gov10,firm575
gov10,firm576
gov10,firm577
gov10,firm586
gov10,firm587
gov10,firm588
gov10,firm597
gov10,firm598
gov10,firm599
gov10,firm608
gov10,firm609
gov10,firm610
gov10,firm625
gov10,firm626
gov10,firm627
gov10,firm636
gov10,firm637
gov10,firm638
gov10,firm647
gov10,firm648
gov10,firm649
gov10,firm749
gov10,firm761
gov10,firm773
gov10,firm785
gov10,firm796
gov10,firm808
gov10,firm820
gov10,firm832
gov10,firm844
gov10,firm856
gov10,firm868
gov10,firm880
gov10,firm903
gov10,firm915
gov10,firm927
gov12,firm71
gov12,firm72
gov12,firm73
gov12,firm82
gov12,firm83
gov12,firm84
gov12,firm93
gov12,firm94
gov12,firm95
gov12,firm107
gov12,firm108
gov12,firm109
gov12,firm118
gov12,firm119
gov12,firm120
gov12,firm129
gov12,firm130
gov12,firm131
gov12,firm140
gov12,firm141
gov12,firm142
gov12,firm151
gov12,firm152
gov12,firm153
gov12,firm162
gov12,firm163
gov12,firm164
gov12,firm173
gov12,firm174
gov12,firm175
gov12,firm184
gov12,firm185
gov12,firm186
gov12,firm190
gov12,firm191
gov12,firm192
gov12,firm201
gov12,firm202
gov12,firm203
gov12,firm212
gov12,firm213
gov12,firm214
gov12,firm223
gov12,firm224
gov12,firm225
gov12,firm238
gov12,firm245
gov12,firm252
