id,编号,对口联系领导,地址,联系方式,联系人,名称,所属行业,X坐标,Y坐标,责任部门,gov,gov_id
firm1,C276CCDFD1754FCCA973A6A94209B916,袁善腊,关凤路藏龙岛科技园九凤街5号,,,武汉凡谷电子技术股份有限公司,电子信息,114.4198293,30.43394098,市发改委,武汉市发展和改革委员会,gov10
firm2,60D43A8C3F3F42AAA5FFDC081307DAA2,阮成发,邮科院路烽火科技大厦4/11～15层,,,武汉邮电科学研究院,电子信息,114.3910901,30.51525232,政府办公厅、市经委,,
firm3,C276CCDFD1754FCCA973A6A94209B916,袁善腊,关凤路藏龙岛科技园九凤街5号,,,武汉凡谷电子技术股份有限公司,电子信息,114.4198293,30.43394098,市发改委,武汉市发展和改革委员会,gov10
firm4,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm5,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm6,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm7,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm8,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm9,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm10,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm11,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm12,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm13,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm14,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm15,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm16,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm17,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm18,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm19,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm20,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm21,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm22,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm23,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm24,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm25,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm26,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm27,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm28,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm29,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm30,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm31,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm32,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm33,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm34,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm35,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm36,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm37,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm38,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm39,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm40,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm41,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm42,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm43,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm44,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm45,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm46,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm47,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm48,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm49,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
firm50,C4E451D30EBF44F3B7CCF16FB3396245,刘顺妮,汉南大道720号,,,武汉非凡电源有限公司,电子信息,114.0862804,30.31419742,市商务局,武汉市商务局,gov16
firm51,C515101BDA104947899FDA8D23F2F110,孙亚,"葛化正街31号	",,,武汉葛化集团有限公司,石油化工,114.6047505,30.53432599,市财政局,武汉市财政局,gov24
firm52,FAD086C54B2D4578AABB14BBC5308E73,张学忙,五环路12,,,益海嘉里（武汉）粮油工业有限公司,食品烟草,114.1387999,30.59990484,市农业局,武汉市农业农村局,gov27
firm53,D3FED2C4949849B98F456FA5CC160ED1,刘顺妮,武汉市蔡甸区万家湖路,,,武汉提爱思全兴汽车零部件有限公司,汽车及零部件,114.1813798,30.47006581,市商务局,武汉市商务局,gov16
